Age,Conc_tricaine,Recovery,Not_SM_or_TR,Length
35,0.009,0,1,10
35,0.009,0,1,10.5
35,0.009,0,1,10
35,0.009,0,1,9.5
35,0.009,0,1,11
35,0.009,0,1,10
35,0.009,0,1,13
35,0.009,1,1,6
35,0.009,0,1,11.5
35,0.009,0,1,11
35,0.009,0,1,11
35,0.009,1,1,10
35,0.009,0,1,15
35,0.009,0,1,9
35,0.009,0,1,11
35,0.009,0,1,10
35,0.009,0,1,9
35,0.009,0,1,9.5
35,0.009,0,1,13
35,0.009,0,1,13
35,0.009,0,1,10.5
35,0.009,0,1,11.5
35,0.009,0,1,13
35,0.009,0,1,13
35,0.009,0,1,12
35,0.009,0,1,12
35,0.009,0,1,14
35,0.009,0,1,10
35,0.009,0,1,10
35,0.009,0,1,11.5
35,0.009,0,1,12
35,0.009,0,1,12
35,0.009,0,1,12
35,0.009,0,1,10
35,0.009,0,1,9.5
35,0.009,0,1,8.5
35,0.008,1,1,10
35,0.008,0,1,13
35,0.008,0,1,11
35,0.008,0,1,11
35,0.008,1,1,11.5
35,0.008,1,1,14
35,0.008,1,1,12.5
35,0.008,1,1,10
35,0.008,1,1,13.5
35,0.008,1,1,7
35,0.008,1,1,11.5
35,0.008,1,1,10
35,0.008,1,1,10.5
35,0.008,1,0,12
35,0.008,1,1,9.5
35,0.008,1,1,7
35,0.008,0,1,12
35,0.008,1,1,11
35,0.008,1,1,9.5
35,0.008,1,1,11
35,0.008,1,1,13
35,0.008,1,1,11
35,0.008,1,1,10.5
35,0.008,0,1,9
35,0.008,1,1,10.5
35,0.008,1,1,7
35,0.008,1,1,9
35,0.008,1,1,10
35,0.008,1,1,9.5
35,0.008,0,1,12
35,0.008,0,1,11
35,0.008,0,1,10
42,0.008,1,1,14.5
42,0.008,1,1,11.5
42,0.008,1,1,12
42,0.008,1,1,14
42,0.008,1,1,13.5
42,0.008,1,1,11.5
42,0.008,1,1,10.5
42,0.008,1,1,15.5
42,0.008,1,1,16
42,0.008,0,1,11
42,0.008,1,1,14
42,0.008,1,1,14.5
42,0.008,1,1,14.5
42,0.008,0,1,15
